locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,167,125,6,32,25,8,26,23,1014,83,2,20141101010000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,137,58,4,22,6,5,26,23,1014,83,2,20141101010000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,156,79,26,30,9,6,26,23,1014,83,2,20141101010000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,149,65,9,33,12,7,26,23,1014,83,2,20141101010000
78,Dongguan,,23.017813,113.756958,149,65,9,33,12,7,26,23,1014,83,2,20141101010000
79,"Zimaling, Zhongshan",,22.505112,113.407183,99,37,6,5,8,5,25,23,1013,89,0,20141101010000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,89,35,7,6,2,5,25,23,1013,89,0,20141101010000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,152,72,14,12,12,9,25,23,1013,89,0,20141101010000
82,Zhongshan,,22.513997,113.398277,99,37,6,5,8,5,25,23,1013,89,0,20141101010000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,162,73,18,15,22,11,22,20,1015,84,1,20141101010000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,162,73,18,15,22,11,22,20,1015,84,1,20141101010000
84,"Forest area, Shaoguan",,24.796106,113.612131,165,74,14,9,21,11,22,20,1015,84,1,20141101010000
84,"Forest area, Shaoguan",,24.796107,113.612131,165,74,14,9,21,11,22,20,1015,84,1,20141101010000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,167,76,8,22,12,6,22,20,1015,84,1,20141101010000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,167,76,8,22,12,6,22,20,1015,84,1,20141101010000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,175,75,15,30,14,11,22,20,1015,84,1,20141101010000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,175,75,15,30,14,11,22,20,1015,84,1,20141101010000
